caseid,agearr10,age_group,sex,marital_status,number_of_children,alcohol_consumption,smoking_status,stresslevel,source_of_stress,hours_worked,job_satisfaction,discrimination_Frequency,ourdoor_activities,living_standard,health_level,personal_relationship_level,appearance_level,stress
18077,3,4,2,1,0,5,3,2,2,3,1,6,2,10,10,10,10,Not very stressful
18086,96,7,1,3,0,7,3,2,3,9,9,6,2,10,8,10,7,Not very stressful
18087,99,3,2,1,3,7,3,2,3,6,6,6,1,10,8,10,8,Not very stressful
18095,96,5,2,1,0,6,3,4,1,3,2,6,2,10,8,9,8,Quite A bit stressful
18111,96,4,2,1,0,4,3,2,5,3,2,6,2,10,10,10,9,Not very stressful
18124,96,4,2,1,1,5,3,4,5,4,6,6,2,10,8,10,7,Quite A bit stressful
18129,96,6,1,1,0,1,3,2,5,4,6,6,1,10,4,10,7,Not very stressful
18130,7,6,2,1,1,7,3,2,6,6,6,6,1,10,10,10,10,Not very stressful
18131,96,6,2,5,0,4,3,3,1,3,1,6,2,10,10,10,10,A bit stressful
18136,3,3,2,1,1,4,3,2,5,4,6,6,2,10,10,9,8,Not very stressful
18139,96,6,2,1,0,7,3,2,7,1,6,6,1,10,7,10,9,Not very stressful
18140,96,6,2,1,0,3,1,2,7,3,6,6,2,10,5,10,7,Not very stressful
18142,96,5,1,5,0,3,3,2,1,4,1,6,1,10,7,7,8,Not very stressful
18143,96,3,2,1,2,3,3,2,7,6,6,6,2,10,9,10,9,Not very stressful
18166,96,3,2,1,3,5,3,3,5,6,6,6,2,10,8,9,9,A bit stressful
18170,96,3,2,1,1,6,1,2,5,3,3,6,2,10,8,10,6,Not very stressful
18179,2,3,2,1,2,7,3,3,5,3,2,6,2,10,8,8,8,A bit stressful
18187,96,5,2,1,0,3,3,2,6,6,6,6,2,10,8,10,7,Not very stressful
18194,96,1,1,2,0,3,3,3,4,2,2,6,2,10,7,8,10,A bit stressful
18199,96,4,2,4,1,1,1,5,2,6,6,6,1,1,3,0,0,Extremely stressful
18206,96,3,1,2,2,6,3,3,1,4,6,6,2,10,7,8,8,A bit stressful
18211,2,2,1,6,0,7,3,2,2,3,1,6,1,10,10,10,10,Not very stressful
18222,1,6,1,1,0,5,3,2,3,4,6,6,2,10,9,9,5,Not very stressful
18231,96,5,2,1,0,6,2,2,3,3,2,6,2,10,10,10,10,Not very stressful
18236,96,1,1,6,1,5,3,2,5,3,6,6,2,10,9,10,9,Not very stressful
18251,3,2,1,2,0,4,1,2,1,3,6,6,2,10,10,10,10,Not very stressful
18271,96,2,2,6,0,7,3,3,4,6,6,6,1,10,10,10,10,A bit stressful
18278,96,3,2,6,2,3,1,3,5,4,1,6,2,10,8,8,8,A bit stressful
18296,96,2,1,2,1,5,3,2,1,4,2,6,2,10,8,10,5,Not very stressful
18297,96,1,1,6,0,3,2,2,2,3,1,6,2,10,7,10,7,Not very stressful
18313,96,1,2,6,0,5,3,2,4,1,2,6,2,10,10,8,8,Not very stressful
18329,96,6,1,1,0,5,3,2,6,6,6,6,2,10,3,10,5,Not very stressful
18341,96,4,2,1,0,3,3,2,5,3,1,6,2,10,8,9,8,Not very stressful
18345,96,7,2,5,0,6,3,2,6,6,6,6,1,10,10,10,10,Not very stressful
18357,96,3,1,2,0,5,3,2,5,4,1,6,2,10,8,10,9,Not very stressful
18370,96,6,1,2,0,5,3,3,1,3,1,6,2,10,10,10,10,A bit stressful
18389,96,5,2,6,0,4,3,4,3,4,6,6,2,10,2,5,5,Quite A bit stressful
18405,96,5,2,5,0,6,1,5,2,6,6,6,2,0,10,98,98,Extremely stressful
18407,96,3,2,2,2,5,3,2,5,2,2,6,2,10,8,9,7,Not very stressful
